category,item_id,control,pillar5_evidence,status,owner,blocking_for_launch,current_v3_status,v4_requirement
Pre-trade controls,PT-001,Production gross leverage fixed at 1.405x for 10% target vol,"5.1 selected 10% vol target, k=0.7025, production gross=1.405x.",pass,Risk / PM,N,Keep static gross cap at 1.405x until V4 dynamic sizing is approved.,Hard gross cap in order generation and daily risk report.
Pre-trade controls,PT-002,Dynamic volatility overlay evaluation,5.1 showed static 10% target can realize ~26% 60d vol in high-vol regimes.,partial,V4 strategy work,N,"Evaluate dynamic vol targeting, but do not use a blunt high-vol off switch because 5.6 found high-vol Sharpe is strong.",Backtest dynamic vol overlay without reducing SPY 20d vol top-quartile Sharpe below current baseline.
Pre-trade controls,PT-003,Turnover cap / no-trade band in neutralization optimizer,5.4 capacity ceiling <$5M is driven by tail rotation days; non-rebalance turnover 27.4% vs rebalance 7.0%.,fail,V4 strategy work,Y,Add turnover penalty or no-trade band to daily beta-neutralization / sector-cap solve.,Non-rebalance-day mean turnover < 2x rebalance-day mean turnover; >100% turnover days reduced by at least 75%.
Pre-trade controls,PT-004,Participation cap by name and day,5.4 p95 participation breaches quickly; mid-cap names such as APH/MOS/PTC/OKE bind capacity.,fail,Ops infra work,Y,Enforce projected participation limit before orders are released.,No order plan exceeds 5% ADV participation without explicit PM/risk approval.
Pre-trade controls,PT-005,Sector net constraint after beta-neutral solve,5.5 found post-V3 max abs sector net 14.1% vs raw 7.5%; beta-neutralization widened sector net exposure.,fail,V4 strategy work,Y,"Constrain sector net exposure inside the beta-neutral optimizer, not only as a side cap.",Post-solve average max abs sector net <= raw baseline and p95 max abs sector net <= 15%.
Risk monitoring,RM-001,Residual beta 60d monitoring,5.5 residual alpha beta=0.269; 5.6 found 2022 rate shock had |beta|>0.4 on 56.6% of days.,partial,Ops infra work,Y,Compute rolling 60d realized beta daily and alert on drift.,Warn at |beta_60d| > 0.25; hard review at |beta_60d| > 0.40 for 5 consecutive days.
Risk monitoring,RM-002,Residual beta 20d fast-event monitoring,"5.6 COVID crash shows zero high-beta days under 60d threshold, likely because 60d beta smooths fast events.",fail,Ops infra work,Y,Add 20d realized beta monitor alongside 60d to catch fast dislocations.,Warn at |beta_20d| > 0.30; hard review at |beta_20d| > 0.50 for 3 consecutive days.
Risk monitoring,RM-003,Trend-based regime sizing monitor,"5.6 refuted high-vol weakness; weak regime is SPY 60d return bottom quartile, Sharpe=-0.074 over 677 days.",fail,V4 strategy work,Y,Compute daily SPY 60d trailing return percentile vs trailing 3y distribution and reduce sizing in bottom quartile.,"When SPY 60d trend percentile is bottom quartile, V4 regime-conditioned Sharpe >= 0 and drawdown improves vs V3."
Risk monitoring,RM-004,Do not use blunt high-vol kill filter,5.6 found SPY 20d vol top-quartile Sharpe=1.624 vs bottom-quartile Sharpe=0.500.,pass,Risk / PM,N,High vol alone is not a de-risk trigger; use trend and realized risk jointly.,"Risk policy states vol-only filter is informational, not automatic sizing reduction."
Risk monitoring,RM-005,Factor tape for size/value/momentum attribution,5.5 could not prove residual alpha is not hidden size/value/momentum exposure because canonical factor returns are unavailable.,partial,Ops infra work,N,Source or build approved factor-return tape for institutional attribution.,Daily size/value/momentum factor returns available and reconciled to attribution engine.
Risk monitoring,RM-006,VaR / expected shortfall budget,Pillar 5 covered DD and stress windows but did not implement formal VaR/ES limits.,fail,Ops infra work,Y,Add rolling historical VaR/ES risk budget before live launch.,"Daily 95/99% VaR and ES produced, with breach escalation and PM signoff."
Borrow / financing,BF-001,Short top-10 concentration limit,"5.4 found top-10 short concentration=48.7%, structurally independent of AUM.",fail,V4 strategy work,Y,Add explicit short-side concentration constraint.,Top-10 short concentration <= 25%; no single short > 5% of short book absent approval.
Borrow / financing,BF-002,HTB exposure cap,"5.4 HTB-proxy share=25.5%, near the 30% borrow-feasible threshold.",partial,Ops infra work,Y,Replace market-cap/ADV proxy with PB borrow feed and enforce HTB cap.,HTB notional < 25% of short book using PB locate/utilization data.
Borrow / financing,BF-003,Borrow cost stress monitor,"5.3 break-even borrow cost is ~700 bps, robust but analytic and not PB-confirmed.",partial,Ops infra work,N,Track realized borrow fees and rerun borrow stress weekly.,Daily borrow fee file available; projected fee drag included in pre-trade P&L.
Operational,OP-001,Soft halt at -10% rolling 60d drawdown,5.6 worst requested window return=-9.1%; institutional review should occur before -20% kill switch.,fail,Ops infra work,Y,Add soft halt requiring PM/risk review at -10% rolling 60d drawdown.,Automated alert and documented review before next rebalance after breach.
Operational,OP-002,Hard halt at -15% rolling 60d drawdown,5.2 hard stop was -12% de-risk and kill switch -20%; 5.7 adds institutional hard halt tier.,partial,Risk / PM,Y,Define hard halt action: freeze new risk or cut gross by at least 50%.,Policy implemented and historically simulated before paper trading.
Operational,OP-003,Single-day loss halt at -8%,Single-day operational loss limit was not defined in 5.1-5.6.,fail,Ops infra work,Y,Add -8% single-day loss halt with immediate order freeze and risk review.,Intraday/close-to-close loss monitor triggers order block and incident ticket.
Operational,OP-004,Existing -20% kill switch retained as capital-preservation backstop,5.2 and 5.6 found no tested window breaches -20%; still useful as terminal kill switch.,pass,Risk / PM,N,Keep -20% kill switch but do not rely on it as first review point.,"Policy includes -10%, -15%, and -20% tiers with explicit actions."
Operational,OP-005,Slippage and impact monitoring,5.4 shows impact is capacity-binding because of tail rotation days.,fail,Ops infra work,Y,Compare realized execution cost to modeled square-root impact daily.,"Daily slippage report by name, order, sector, and rotation-day tag."
