req_id,category,requirement,acceptance_criteria,anti_criteria,source_stage,source_item_id,priority,depends_on
REQ-F-001,Functional,"Turnover-aware neutralization: V4 neutralization must include turnover-aware behavior, such as a no-trade band or turnover penalty, while preserving the daily risk-control objective.",n_days with daily gross turnover > 100% reduced by >=75%; p95 non-rebalance-day turnover < 1.5x p95 rebalance-day turnover; full-sample Sharpe >= 0.9x V3 baseline.,Must not reduce 2022 rate-shock Sharpe below 1.0; must not widen post-solve sector net exposure above V3; must not claim capacity improvement without rerunning 5.4-style capacity.,"5.4, 5.5, 5.6, 5.7",PT-003,P0,"REQ-F-002, REQ-F-004, REQ-N-004"
REQ-F-002,Functional,Sector-net constraint inside optimizer: V4 optimizer must constrain sector net exposure inside the beta-neutral solve rather than relying only on side caps.,Post-solve average max abs sector net <= raw baseline; p95 max abs sector net <=15%; sector exposure covariance share is not negative by more than V3 baseline.,Must not use sector tilts to satisfy beta neutrality; must not lower high-vol regime Sharpe below 0.9x V3 high-vol Sharpe.,"5.5, 5.7",PT-005,P0,REQ-F-001
REQ-F-003,Functional,Trend-based regime sizing: V4 must compute SPY 60d trailing-return percentile versus trailing 3y distribution and use trend-down state for sizing decisions.,Bottom-quartile SPY-60d-return regime Sharpe >=0; max DD in that regime improves vs V3; high-vol top-quartile Sharpe >=0.9x V3 high-vol Sharpe.,Must not implement a blunt vol-off filter; must not cut risk simply because SPY 20d volatility is high.,"5.6, 5.7",RM-003,P0,none
REQ-F-004,Functional,Residual beta 20d monitoring: V4 must monitor rolling 20d realized beta daily to catch fast dislocations missed by 60d beta.,Warn at |beta_20d| >0.30; hard review at |beta_20d| >0.50 for 3 consecutive days; COVID-like fast windows are visible in monitoring output.,Must not rely on 60d beta alone; must not label COVID-style windows effective solely because 60d beta stays below threshold.,"5.6, 5.7",RM-002,P0,REQ-F-005
REQ-F-005,Functional,Residual beta 60d monitoring: V4 must monitor rolling 60d realized beta daily for persistent drift.,Warn at |beta_60d| >0.25; hard review at |beta_60d| >0.40 for 5 consecutive days; 2022 rate-shock drift is flagged historically.,Must not force zero realized beta at the cost of collapsing 2022 rate-shock Sharpe below 1.0.,"5.5, 5.6, 5.7",RM-001,P0,REQ-F-004
REQ-F-006,Functional,Short top-10 concentration limit: V4 must limit concentration in the short book.,Top-10 short concentration <=25% at launch; stretch goal <=20%; no single short >5% of short book without approval.,Must not improve concentration by replacing easy-borrow names with HTB names; must not reduce short diversification during stress windows.,"5.4, 5.7",BF-001,P0,REQ-F-007
REQ-F-007,Functional,HTB cap with PB feed: V4 must replace market-cap/ADV borrow proxy with PB locate/utilization data and enforce HTB cap.,HTB notional <25% of short book using PB feed; unavailable borrow data blocks order generation for affected names.,Must not treat ADV or market cap as sufficient proof of borrow availability after PB feed exists.,"5.4, 5.7",BF-002,P0,none
REQ-F-008,Functional,Multi-tier drawdown halt: V4 live-readiness policy must implement multi-tier drawdown controls.,-10% rolling 60d DD soft halt; -15% rolling 60d DD hard halt; -8% single-day loss halt; -20% terminal kill switch retained.,Must not rely on -20% as the first review trigger; must not continue ordinary rebalancing after a soft/hard halt without documented review.,"5.2, 5.6, 5.7",OP-001;OP-002;OP-003,P0,none
REQ-F-009,Functional,Participation cap: V4 pre-trade checks must cap projected participation by name/day.,No order plan exceeds 5% ADV without explicit approval; report p50/p95/max participation as in 5.4.,Must not report capacity using mean participation only; must not scale AUM without multiplying by gross exposure.,"5.4, 5.7",PT-004,P0,"REQ-F-012, REQ-F-013"
REQ-F-010,Functional,VaR / expected shortfall budget: V4 must add rolling historical VaR and expected shortfall limits.,Daily 95/99% VaR and ES produced; breach escalation is documented; VaR/ES report reconciles to realized P&L.,Must not use VaR/ES as a substitute for drawdown halts or residual beta monitoring.,5.7,RM-006,P0,REQ-F-008
REQ-F-011,Functional,Slippage and impact monitoring: V4 must compare realized execution cost to modeled square-root impact daily.,"Daily slippage report by name, order, sector, and rotation-day tag; tail rotation-day impact separately reported.",Must not apply impact to gross exposure instead of turnover; must not ignore high-turnover non-rebalance days.,"5.4, 5.7",OP-005,P0,REQ-F-001
REQ-F-012,Functional,ADV20 freshness: V4 must refresh ADV20 daily and block stale liquidity estimates.,No order generated if ADV20 is missing/stale; event-day liquidity override is documented.,Must not rely on stationary ADV around earnings or index events.,"5.4, 5.7",DI-003,P0,none
REQ-F-013,Functional,Point-in-time validation: V4 must run point-in-time checks before signal generation.,"Daily data audit passes for prices, returns, and corporate actions before weights are generated.",Must not allow cache/reconstruction mismatches to pass silently; must not use future-adjusted fields in signal construction.,"5.7, 5.8",DI-001,P0,"REQ-N-001, REQ-N-004"
REQ-F-014,Functional,Canonical source-of-truth reconciliation: V4 must define exactly one canonical production book path before implementation.,One documented command regenerates the canonical V4 weights bit-for-bit; cache and reconstruction agree by construction.,Must not repeat the Stage 5.5 cache-vs-reconstruction ambiguity; must not start V4 if Stage 5.8 reconciliation is Verdict C without explicit resolution.,"5.5, 5.7, 5.8",OP-006,P0,"REQ-N-001, REQ-N-004"
REQ-F-015,Functional,PIT data integrity launch gate: V4 launch workflow must block if daily PIT data checks fail.,Daily data audit passes before signal generation; failed audit blocks order files and opens an incident ticket.,Must not treat manual spot checks as sufficient for live launch.,5.7,DI-001,P0,REQ-F-013
REQ-N-001,Non-functional,Reproducibility: One documented command regenerates V4 weights bit-for-bit.,"Command, inputs, and output hashes are documented for every V4 run.",Must not depend on hidden notebooks or mutable intermediate files.,"5.5, 5.7",OP-006,P0,none
REQ-N-002,Non-functional,Testability: Each REQ-F must have at least one automated test in tests/.,Automated test coverage maps every REQ-F id to at least one test or explicit non-automatable exception.,Must not accept manual-only verification for launch-blocking controls.,5.7,ALL_BLOCKING,P0,none
REQ-N-003,Non-functional,"Documentation parity: V4 must produce attribution, capacity, and stress reports analogous to Pillar 5 Stages 5.4-5.6.","V4 report set includes capacity, risk decomposition, stress/regime, and live-readiness checklist.",Must not claim V4 readiness from Sharpe-only backtests.,"5.4, 5.5, 5.6, 5.7",ALL_BLOCKING,P0,REQ-N-002
REQ-N-004,Non-functional,Source-of-truth discipline: V4 weights cache and reconstruction script must agree by construction.,"Daily reconciliation has mean weight L1 <0.01, p95 return diff <1bp, max return diff <5bp.",Must not allow an unresolved Verdict C-style mismatch into V4 implementation.,"5.5, 5.8",OP-006,P0,REQ-N-001
